idhm_l,ODS_6_1,ODS_6_4,ODS_6_6,ODS_6_7,ODS_6_8,classe
0.720,17.969,66.180,100,100,98.830,3
0.717,78.452,13.290,100,97.360,100,3
0.674,52.493,13.850,94.590,90.030,100,3
0.712,165.511,23.640,84.790,85.890,100,3
0.719,30.850,28.450,95.530,95.530,100,3
0.697,96.587,13.900,63.360,62.970,100,2
0.645,20.363,39.680,60.580,51.980,100,2
0.732,222.177,16.640,100,87.520,86.090,3
0.670,109.063,20.210,60.250,49.760,100,2
0.748,194.020,25.750,98.250,98.250,99.610,3
0.704,40.659,15.020,100,81.300,100,3
0.756,163.816,27.950,100,98.830,100,3
0.762,11.314,47.880,91.470,86.900,59.580,1
0.740,44.435,45.790,94.940,92.090,75,2
0.767,25.627,43.470,93.570,88.170,87.610,3
0.746,28.506,22.910,100,95.870,100,3
0.731,0.01,19.300,100,97.930,100,3
0.719,19.081,31,92.450,77.430,100,3
0.752,24.658,16.060,94.930,47.690,0.01,1
0.746,86.662,14.820,100,99.420,100,3
0.781,725.180,14.050,92.050,89,100,2
0.733,395.403,39.560,97.650,97.440,35,1
0.706,456.073,0.01,0,0.01,0,1
0.713,8.230,26.480,100,94.400,100,3
0.692,0.01,19.210,49.830,39.690,100,1
0.716,54.074,44.030,98.060,98.060,100,3
0.726,0.01,29.030,90.990,87.870,100,3
0.685,20.855,20.560,100,100,69.510,3
0.703,110.963,1.640,61.190,57.700,100,2
0.655,314.564,6.670,100,100,100,3
0.659,224.307,6.350,100,99.370,100,3
0.664,15.056,89.710,42.950,42.950,100,1
0.681,26.741,21.890,40.960,12.470,99.750,1
0.737,78.449,6.860,90.370,90.370,100,4
0.755,225.557,12.340,87.850,87.010,100,3
0.701,339.751,12.300,86.330,83.160,100,3
0.710,28.297,64.680,100,100,99.400,3
0.598,30.426,21.030,66.740,55.510,100,2
0.673,0.01,11.250,91.090,89.690,100,4
0.694,312.989,0.01,0,0.01,0,1
0.718,26.420,26.730,92.740,92.740,100,3
0.727,387.293,15.380,95.640,95.030,100,2
0.707,516.129,12.380,96.560,96,100,2
0.675,49.346,24.020,97.110,97.110,100,3
0.705,120.192,12.510,75.910,75.500,100,3
0.755,9.843,36.370,98,96,100,3
0.712,168.209,0.01,91.050,91.050,71.430,3
0.741,127.976,10.990,97.310,96.730,100,4
0.730,0.01,11.470,98.370,98.360,100,4
0.679,69.914,41.410,79.840,79.840,100,2
0.713,202.347,32.870,90.690,77.820,100,2
0.737,63.486,21,94.440,94.440,100,3
0.693,90.457,16.330,100,98.960,100,3
0.717,45.858,18,96.810,96.220,100,3
0.719,13.900,14.430,86.740,86.530,100,3
0.765,76.646,65.470,98.940,97.950,0.01,1
0.776,20.002,33.730,100,98.500,57.270,2
0.713,0.01,17.430,88.780,87.670,100,3
0.740,245.455,15.070,97.040,96.350,100,3
0.753,48.972,53.580,97.420,97.420,84.590,2
0.666,406.032,20,92,92,100,2
0.717,85.397,13.480,100,98.980,100,3
0.717,42.067,12.220,100,72.920,100,3
0.717,22.861,12.510,80.800,79.220,100,3
0.698,111.226,14.020,82.680,82.520,100,3
0.720,411.835,13.670,95.050,90.530,100,2
0.727,188.578,33.610,91.700,91.700,100,3
0.724,315.219,24.720,95.240,93.680,100,2
0.717,91.414,19.120,95.300,94.630,100,3
0.709,5.476,27.970,74.240,41.340,16.460,1
0.751,0.01,36.790,99.910,99.910,0.01,2
0.697,19.613,16.620,73.920,63,100,3
0.712,48.840,12.340,100,99.440,100,3
0.693,812.860,9.870,95.230,94.150,100,2
0.718,30.731,35.990,80.470,67.010,100,2
0.682,40.562,26.240,75.840,66.350,100,3
0.720,322.729,35.110,80.870,80.870,100,2
0.696,20.261,60.090,99.820,99.820,100,3
0.692,174.403,0.180,97.670,48.980,52.590,1
0.800,22.321,24.210,100,99.910,100,3
0.683,54.526,20.710,84.460,83.810,100,3
0.721,33.486,15.800,90.030,88.930,100,3
0.738,27.594,32.350,100,97.980,100,3
0.671,16.367,18.700,27.820,22.440,0.01,1
0.698,161.225,15.840,80.290,70.290,100,3
0.716,23.794,26.780,81,78.800,100,3
0.750,18.571,52.830,98.170,98,85.460,2
0.749,0.01,19.190,91.490,89.940,100,3
0.654,43.779,32.810,61.800,37.540,100,2
0.748,84.697,33.380,95.510,95.510,100,3
0.728,93.469,30.040,93.080,93.080,88.270,3
0.717,11.399,20.900,81.710,74.590,100,3
0.730,24.637,27.240,99.090,78.310,100,3
0.681,66.247,16.110,96.170,95.150,100,3
0.694,18.004,33.330,58.130,35.710,99.640,2
0.674,30.610,23.570,92.200,63.610,100,3
0.745,11.756,29.950,100,96.400,100,3
0.726,40.660,41.670,94.660,94.660,100,3
0.707,6.499,20.040,59.870,48.750,99.670,2
0.669,297.378,10.280,85.560,83.400,100,3
0.711,22.099,25.450,93.640,73.510,0.01,2
0.758,14.566,27.100,70.260,52.710,99.530,2
0.797,27.501,56.830,100,100,100,3
0.740,123.874,32.470,99.400,97.640,100,3
0.734,34.994,13.420,99.840,87.990,34.910,2
0.735,270.247,24.760,100,100,100,2
0.679,15.643,40.080,84.890,55.080,25.160,1
0.740,79.268,14.780,98.540,93.900,100,3
0.789,23.414,40.380,91.630,91.630,100,3
0.762,7.265,11.860,92.660,84.180,100,4
0.699,54.890,30,100,100,0.01,2
0.683,56.561,10.140,82.180,81.730,100,3
0.691,0.01,14.400,74.510,74.340,100,3
0.710,13.519,26.530,100,98,86.560,3
0.736,441.682,15.760,95.760,95.840,100,2
0.750,67.653,25,93.040,90.150,100,3
0.727,29.412,8.840,99.850,100,100,4
0.718,53.095,18.510,100,100,100,3
0.677,42.790,13.150,84.380,83.350,100,3
0.705,38.805,11.920,100,99.070,100,4
0.699,481.696,5.740,100,98.800,100,3
0.696,9.933,31.120,84.350,36.130,100,2
0.737,31.834,33.090,100,100,99.470,3
0.736,42.475,26.570,98.210,98.210,82.160,3
0.651,75.607,0.880,100,100,0.01,2
0.737,91.345,0.010,100,100,89.530,4
0.658,23.742,11.420,47.820,93.450,100,2
0.738,13.716,29.570,98.280,91.420,100,3
0.744,11.183,27.500,91.120,74.050,100,3
0.681,18.808,30.640,99.400,98.930,100,3
0.711,24.510,16.220,97.870,95.930,100,3
0.718,1282.347,15.670,88.700,81.290,100,2
0.714,349.186,17.560,97.490,86.280,100,2
0.788,79.003,30.080,100,99.590,100,3
0.749,229.897,20.280,100,98,40,2
0.724,56.334,7.150,88.170,84.130,99.830,4
